mountains
rank,name,lat,lon
1,玉山,23.470002,120.957274
2,雪山,24.383401,121.231754
3,玉山東峰,23.470775,120.965668
4,玉山北峰,23.487452,120.959672
5,玉山南峰,23.446581,120.958784
6,秀姑巒山,23.496791,121.05744
7,馬博拉斯山,23.52034,121.067236
8,南湖大山,24.361805,121.439359
9,東小南山,23.439036,120.963411
10,中央尖山,24.310226,121.416203
11,雪山北峰,24.414724,121.240396
12,關山,23.228086,120.911717
13,南湖大山東峰,24.365894,121.450661
14,大水窟山,23.473853,121.038618
15,東郡大山,23.626735,121.092082
16,奇萊主山北峰,24.118339,121.334539
17,向陽山,23.284291,120.992423
18,大劍山,24.340941,121.200492
19,雲峰,23.353743,120.975757
20,奇萊主山,24.085997,121.323234
21,馬利加南山,23.521592,121.117171
22,南湖北山,24.383669,121.437171
23,大雪山,24.330751,121.121182
24,品田山,24.428214,121.266816
25,玉山西峰,23.472426,120.934205
26,頭鷹山,24.359607,121.140723
27,三叉山,23.297183,121.028671
28,大霸尖山,24.457743,121.258031
29,南湖大山南峰,24.347784,121.434582
30,東巒大山,23.648667,121.081564
31,無明山,24.255559,121.384663
32,巴巴山,24.342411,121.43782
33,馬西山,23.483755,121.173967
34,北合歡山,24.181496,121.281587
35,合歡山東峰,24.135671,121.281033
36,小霸尖山,24.45557,121.252049
37,合歡山,24.142632,121.271166
38,南玉山,23.429276,120.92491
39,畢祿山,24.213579,121.347162
40,卓社大山,23.834571,121.115822
41,奇萊主山南峰,24.061219,121.279809
42,南雙頭山,23.346062,121.010532
43,能高山南峰,23.965374,121.278083
44,白姑大山,24.202683,121.108962
45,八通關山,23.490196,121.009592
46,新康山,23.316418,121.127384
47,丹大山,23.600421,121.213543
48,桃山,24.432621,121.304898
49,佳陽山,24.306633,121.187996
50,火石山,24.381922,121.175055
51,池有山,24.431102,121.28814
52,伊澤山,24.469989,121.243603
53,卑南主山,23.051181,120.874204
54,郡大山,23.577365,120.962368
55,志佳陽大山,24.357779,121.251324
56,干卓萬山,23.876045,121.138989
57,太魯閣大山,24.079077,121.420976
58,轆轆山,23.391362,120.99808
59,喀西帕南山,23.468634,121.195221
60,內嶺爾山,23.579269,121.19605
61,鈴鳴山,24.24438,121.351647
62,能高山,23.992334,121.260253
63,萬東山西峰,23.851873,121.185522
64,劍山,24.295572,121.170202
65,屏風山,24.149275,121.342934
66,小關山,23.151654,120.87612
67,義西請馬至山,23.58646,121.153265
68,牧山,23.862896,121.160214
69,玉山前峰,23.475605,120.917662
70,石門山,24.152435,121.284587
71,無雙山,23.59157,121.05432
72,塔關山,23.251966,120.94222
73,馬比杉山,24.348325,121.485633
74,達芬尖山,23.43296,121.01322
75,雪山東峰,24.388687,121.272073
76,南華山,24.039337,121.285918
77,關山嶺山,23.270996,120.959457
78,海諾南山,23.185598,120.911328
79,中雪山,24.336476,121.078059
80,閂山,24.258708,121.309867
81,甘藷峰,24.290393,121.389819
82,西合歡山,24.17761,121.244525
83,審馬陣山,24.380209,121.417448
84,喀拉業山,24.44996,121.321288
85,庫哈諾辛山,23.262774,120.900042
86,加利山,24.4595,121.216197
87,白石山,23.907542,121.274785
88,磐石山,24.104728,121.388298
89,帕托魯山,24.099441,121.466602
90,北大武山,22.627075,120.76141
91,巒大山,23.694019,120.947166
92,塔芬山,23.406038,121.026793
93,立霧主山,24.124914,121.445703
94,安東軍山,23.872712,121.266118
95,光頭山,23.937997,121.271952
96,羊頭山,24.208264,121.379765
97,駒盆山 ,23.548389,121.032528
98,布拉克桑山,23.232838,121.0787
99,六順山,23.724508,121.239549
100,鹿山,23.45065,120.988479
