name,lon,lat,elevation,deviceId,waterFull,waterEmpty,link,,
樂樂山屋,120.958072,23.546048,1694,64:45:63:7E:DC:0C,0,30,https://hiking.biji.co/index.php?q=chalet&act=detail&id=136,,
觀高登山服務站,121.001992,23.502384,2537,A,0,100,https://hiking.biji.co/index.php?q=chalet&act=detail&id=137,,
巴奈伊克山屋,121.016489,23.487669,2809,B,0,100,https://hiking.biji.co/index.php?q=chalet&act=detail&id=139,,
中央金礦山屋,121.027458,23.486466,2928,C,0,100,https://hiking.biji.co/index.php?q=chalet&act=detail&id=140,,
白洋金礦山屋,121.047367,23.487918,3383,D,0,100,https://hiking.biji.co/index.php?q=chalet&act=detail&id=141,,
大水窟山屋,121.05624,23.459336,3227,E,0,100,https://hiking.biji.co/index.php?q=chalet&act=detail&id=144,,
塔芬谷山屋,121.026735,23.419595,2643,F,0,100,https://hiking.biji.co/index.php?q=chalet&act=detail&id=145,,
轆轆谷山屋,121.006483,23.386039,2978,G,0,100,https://hiking.biji.co/index.php?q=chalet&act=detail&id=146,,
拉庫音溪山屋,121.025769,23.328229,2714,H,0,100,https://hiking.biji.co/index.php?q=chalet&act=detail&id=148,,
嘉明湖避難山屋,120.996908,23.283986,3369,I,0,100,https://hiking.biji.co/index.php?q=chalet&act=detail&id=178,,
向陽山屋,120.984401,23.262574,2849,J,0,100,https://hiking.biji.co/index.php?q=chalet&act=detail&id=177,,
